Started at,Ended at,Total Time,Nodes Explored,Path Length
14:26:04.143,14:26:04.159,0.0159,0,0.00
14:26:04.160,14:26:04.216,0.0562,247,345.86
14:26:04.217,14:26:04.264,0.0465,161,140.30
14:26:04.265,14:26:04.313,0.0485,193,259.00
14:26:04.314,14:26:04.378,0.0641,233,652.54
14:26:04.379,14:26:04.425,0.0459,167,95.15
14:26:04.427,14:26:04.473,0.0457,186,129.79
14:26:04.474,14:26:04.538,0.0638,140,114.73
14:26:04.540,14:26:04.611,0.0717,214,329.76
14:26:04.612,14:26:04.661,0.0491,192,284.17
14:26:04.663,14:26:04.713,0.0505,231,594.71
14:26:04.714,14:26:04.760,0.0463,140,235.63
14:26:04.762,14:26:04.806,0.0442,186,5.29
14:26:04.807,14:26:04.859,0.0524,127,207.53
